Unnamed: 0,PuzzleId,FEN,OpeningTags,dutch,english,sicilian,french,benoni,queens_gambit,kings_indian,Move,Layer Outputs Index,Layer Outputs File
4158636,yFE5z,rnbqk2r/pppp2pp/4pb2/4N3/3P4/3B4/PPP3PP/RN1QK2R b KQkq -,Dutch_Defense Dutch_Defense_Staunton_Gambit_Accepted,1,0,0,0,0,0,0,g7g6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_0.npy
585896,8U71K,rnbqk2r/pp6/2pp1bpp/4P3/2B2QpP/2N1P3/PPP2P2/R3K1NR b KQkq -,Dutch_Defense Dutch_Defense_Hopton_Attack,1,0,0,0,0,0,0,d6e5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_1.npy
4228047,zFQBH,rn1qk2r/pbp5/1p1pPn1p/8/1bPP3p/2N2P2/PPQ3PP/2KR1BNR b kq -,Dutch_Defense Dutch_Defense_Rubinstein_Variation,1,0,0,0,0,0,0,d8e7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_2.npy
3989166,vmzms,r4rk1/pp1bq1pp/2p1p3/3n1p2/2BP3P/2N5/PPP2PP1/R2QK2R w KQ -,Dutch_Defense Dutch_Defense_Other_variations,1,0,0,0,0,0,0,d1d2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_3.npy
3250415,l5eCk,r4r1k/ppp3pp/8/3QN3/2B3b1/4R3/PPP1nqPP/R6K w - -,Dutch_Defense Dutch_Defense_Staunton_Gambit,1,0,0,0,0,0,0,e5f7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_4.npy
1199885,HNajb,r1bqkb1r/pppnp1p1/3p1n1p/5p1B/3P3B/4P3/PPP2PPP/RN1QK1NR b KQkq -,Dutch_Defense Dutch_Defense_Hopton_Attack,1,0,0,0,0,0,0,f6h5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_5.npy
741179,Aj8lI,r1bq1rk1/1p1nb1pp/p3Nn2/2p2p2/3QpB2/2N1P3/PPP2PPP/R3KB1R w KQ -,Dutch_Defense Dutch_Defense_Other_variations,1,0,0,0,0,0,0,d4d2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_6.npy
199684,2tanj,r1b3k1/1pp3b1/2np1qp1/p6p/4PNnP/5NQ1/PPP1B1P1/2KR3R w - -,Dutch_Defense Dutch_Defense_Other_variations,1,0,0,0,0,0,0,c2c3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_7.npy
966870,E072c,r2r2k1/ppp1p1bp/6p1/4Pp2/4pP2/P3P2P/qPPBQ1P1/2KR3R w - -,Dutch_Defense Dutch_Defense_Other_variations,1,0,0,0,0,0,0,c2c4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_8.npy
2401590,YnYz2,rnBq1rk1/pp4p1/2pb3p/3p4/3P4/5pP1/PPQBPP1P/R3K2R w KQ -,Dutch_Defense Dutch_Defense_Queens_Knight_Variation,1,0,0,0,0,0,0,c8e6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_9.npy
3673072,rDThf,r5k1/p1p3pp/1p1p4/5q2/3nN2b/P4P2/1PPB3P/R2Q1K1R w - -,Dutch_Defense Dutch_Defense_Other_variations,1,0,0,0,0,0,0,f1g2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_10.npy
483958,701Ub,r1bq1rk1/pp4b1/1npp2B1/6p1/3P4/8/PPP2PP1/R1BQ1RK1 b - -,Dutch_Defense Dutch_Defense_Other_variations,1,0,0,0,0,0,0,g5g4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_11.npy
2641144,cGP40,r5k1/p1p3pp/bp1p4/n3q3/2P5/2P5/P1Q2PPP/R1B2RK1 w - -,Dutch_Defense Dutch_Defense_Rubinstein_Variation,1,0,0,0,0,0,0,c1e3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_12.npy
125078,1oUhO,rnb1k2r/ppp3pp/4pn2/3p4/3P1qP1/5P2/PPP1PK2/RN1Q1BNR w kq -,Dutch_Defense Dutch_Defense_Other_variations,1,0,0,0,0,0,0,f2g2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_13.npy
4135747,xueDn,2kr1r2/pppq2pp/2nbpn2/3p4/3P1NP1/2PBBQ1P/PP6/2KR3R w - -,Dutch_Defense Dutch_Defense_Staunton_Gambit_Accepted,1,0,0,0,0,0,0,f4e6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_14.npy
2195774,Voiid,r1bq1n1k/ppp1pQ2/2np1b1P/2P2pp1/3P4/2N1P3/PP3PP1/2KR1B1R w - -,Dutch_Defense Dutch_Defense_Queens_Knight_Variation,1,0,0,0,0,0,0,f1c4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_15.npy
902689,D4GR4,r1b2r1k/ppqnN1pp/3bp3/3p4/2PPpB1P/4P3/PP2BPP1/R2QK2R w KQ -,Dutch_Defense Dutch_Defense_Queens_Knight_Variation,1,0,0,0,0,0,0,f4d6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_16.npy
1450555,L18ny,r3k2r/2pb4/p3p1n1/b2pPpq1/PpPB4/1B6/1P1N2PP/R2Q1RK1 w kq -,Dutch_Defense Dutch_Defense_Staunton_Gambit,1,0,0,0,0,0,0,c4d5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_17.npy
798465,BYaVT,r1b2rk1/ppp3pp/3p2n1/4p1N1/1nPP3Q/3BP3/PP6/R1BK1R2 b - -,Dutch_Defense Dutch_Defense_Classical_Variation,1,0,0,0,0,0,0,f8f1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_18.npy
3935499,v0l3r,7r/pr1pbkpp/1p1p1p2/5N2/8/8/PPP2PPP/2KRR3 b - -,Dutch_Defense Dutch_Defense_Staunton_Gambit,1,0,0,0,0,0,0,e7f8,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_19.npy
4224252,zC27d,r1bq2k1/pp4pp/2pBp1r1/3p1p1n/3P2P1/2Q1PP2/PPP1BK2/1R3R2 w - -,Dutch_Defense Dutch_Defense_Other_variations,1,0,0,0,0,0,0,f1h1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_20.npy
2592800,bZJxv,rnb2rk1/p1p3pp/1p2p3/q3Npn1/2BP3P/1QP1P3/P4PP1/R4RK1 b - -,Dutch_Defense Dutch_Defense_Other_variations,1,0,0,0,0,0,0,g5f7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_21.npy
208144,317ZV,r3q2k/p1Q2rp1/4bn1p/5p2/5P1P/2B1P1P1/PPP3B1/R4RK1 w - -,Dutch_Defense Dutch_Defense_Raphael_Variation,1,0,0,0,0,0,0,c7c6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_22.npy
1213882,HaCNW,r4rk1/pbpn2pp/1p1pp3/1PP5/3Pp2q/4P2P/P2NBPP1/R2QK2R w KQ -,Dutch_Defense Dutch_Defense_Other_variations,1,0,0,0,0,0,0,e1g1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_23.npy
3548565,pPTwj,rn2q1k1/pbp3p1/1p1p3r/3P2Q1/2P1p3/2B5/PP3PPP/R4RK1 b - -,Dutch_Defense Dutch_Defense_Rubinstein_Variation,1,0,0,0,0,0,0,h6g6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_24.npy
2151313,VAbIK,rn5k/p1pp2p1/1p2p2p/6Q1/3b4/2NB4/PPP3KP/5R2 b - -,Dutch_Defense Dutch_Defense_Staunton_Gambit,1,0,0,0,0,0,0,b8c6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_25.npy
1646049,Nqg0Y,5r1k/ppp3pp/2bp1q2/5r2/2B5/2P5/PP1Q1PPP/R4RK1 w - -,Dutch_Defense Dutch_Defense_Raphael_Variation,1,0,0,0,0,0,0,f2f3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_26.npy
449455,6VM0L,2r1qrk1/1p1b2pp/p2bpn2/3p1p2/P2P1N2/4P1P1/1P2NPBP/2RQ1RK1 b - -,Dutch_Defense Dutch_Defense_Queens_Knight_Variation,1,0,0,0,0,0,0,c8c1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_27.npy
2301411,XLmmU,2rq1rk1/1p1b2pp/p2b4/P2pp3/4np2/2P2NP1/1P2PPBP/R1BQK2R b KQ -,Dutch_Defense Dutch_Defense_Other_variations,1,0,0,0,0,0,0,d7c6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_28.npy
1169746,GwG2n,2kr3r/pbq1b3/1ppp2pp/2nPp3/2P1PpnP/2NB1N2/PPQ2PPB/1KR4R w - -,Dutch_Defense Dutch_Defense_Classical_Variation,1,0,0,0,0,0,0,d3f1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_29.npy
3267948,lLQrR,rnbqkb1r/2p1p1pp/pp1p1n2/1N3p2/Q1PP1B2/8/PP2PPPP/R3KBNR b KQkq -,Dutch_Defense Dutch_Defense_Raphael_Variation,1,0,0,0,0,0,0,c8d7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_30.npy
2492829,a7aig,r5k1/pb1p2p1/1p1Bpnqp/2P2p2/3n4/2PBP3/P4PPP/1R1Q1RK1 w - -,Dutch_Defense Dutch_Defense_Queens_Knight_Variation,1,0,0,0,0,0,0,f2f3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_31.npy
540724,7paWA,r1b2rk1/pp4p1/2p1q2p/3p4/2nP1PPN/7P/PP1QP3/2KR1B1R w - -,Dutch_Defense Dutch_Defense_Queens_Knight_Variation,1,0,0,0,0,0,0,d2c3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_32.npy
625758,93hLs,rnb2k1r/pp1p2p1/2p2p1p/q4p1Q/1bPP4/2NBP3/PP3PPP/R3K1NR w KQ -,Dutch_Defense Dutch_Defense_Normal_Variation,1,0,0,0,0,0,0,g1e2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_33.npy
2346680,Y0JlI,r1b2rk1/pp2q1p1/4p3/3p2NQ/1n1P4/8/PP3PPP/R3K2R b KQ -,Dutch_Defense Dutch_Defense_Queens_Knight_Variation,1,0,0,0,0,0,0,g7g6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_34.npy
3050145,iBjcp,r1bqkb1r/pp2p2p/6R1/3p4/4Q3/8/PPP2PPP/2K2BNR w kq -,Dutch_Defense Dutch_Defense_Staunton_Gambit,1,0,0,0,0,0,0,e4e5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_35.npy
1208788,HVbny,r1b2rk1/ppp3pp/2np4/4pB1q/2PP2nN/P1P1P1P1/2QB1P1P/R3K2R w KQ -,Dutch_Defense Dutch_Defense_Other_variations,1,0,0,0,0,0,0,f5c8,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_36.npy
1964022,SSPQA,3r2k1/pp4bp/2nQP1p1/2p2pqn/2P1p3/4P2P/PP3P2/R1B1KB1R w KQ -,Dutch_Defense Dutch_Defense_Queens_Knight_Variation,1,0,0,0,0,0,0,d6c7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_37.npy
1489841,LaezE,r3k2r/3bn1p1/4pq1p/pp1p1p2/2pP1N1P/P1P1P3/2P2PP1/1R1QKB1R b Kkq -,Dutch_Defense Dutch_Defense_Raphael_Variation,1,0,0,0,0,0,0,g7g6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening/lichess_puzzles_openings_layer_outputs_38.npy
