FEN,white_knight_reachable_outpost,black_bishop_minor_behind_pawn,white_rook_trapped,black_queen_present,white_king_pawnless_flank,black_passed_pawns,white_knight_outpost,black_bishop_outpost,white_rook_on_file,black_queen_weak,Move,Layer Outputs Index,Layer Outputs File
Rr1q1rk1/3n1ppp/4N3/3B4/8/4P3/5PPP/Q4nK1 b - - 0 28,1,0,0,1,0,0,0,0,1,1,f7e6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_0.npy
r2qk2r/1b4b1/1p2p1p1/pNp2n2/1nP2P1p/1Q3N1P/PP1BB1P1/2KR3R b kq - 1 16,1,1,0,1,0,0,0,0,0,1,a5a4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_1.npy
1r3rk1/5pbp/p1pp1np1/q3p1B1/2PnP3/1PN3PP/P4PB1/R2Q1RK1 w - - 1 16,1,1,0,1,0,0,0,0,0,1,c3e2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_2.npy
r2q1r1k/3pbppp/p1b1n3/1p2P3/5BQ1/1PN4R/1PP2PPP/3R2K1 b - - 2 19,1,0,0,1,0,0,0,0,1,1,e7g5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_3.npy
1rNr2k1/1p2qpp1/p6p/4p3/3n4/P5P1/1P3PBP/2RQR1K1 b - - 0 20,1,0,0,1,0,0,0,0,1,1,b8c8,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_4.npy
5rk1/6pp/2RQ1q2/p1Pp4/4p3/3bN2P/5PPK/8 w - - 4 39,1,0,0,1,0,1,0,1,0,1,e3d5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_5.npy
5b1r/3k1pNp/4pP2/1b1pP3/2pQ1N1P/q1P3R1/6P1/6K1 w - - 1 32,1,0,0,1,0,0,0,0,0,1,g1h2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_6.npy
2r1k2r/2q2p2/p1n1p1p1/1pbpP2p/3N1B1P/2P4Q/PP3PP1/2R1R1K1 w k - 0 23,1,0,0,1,0,0,0,0,0,1,f4g5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_7.npy
6k1/3N2pp/2p5/1p1nRr1q/1P1P3P/P4p2/1B3PQP/6K1 w - - 0 29,1,0,0,1,0,0,0,0,1,1,g2g3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_8.npy
3r1rk1/pp3pbp/2p3p1/q6n/2P1N3/1Q3BPb/PP2PP1P/R1B2RK1 w - - 8 16,1,0,0,1,0,0,0,1,0,1,c1g5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_9.npy
2k5/1pp1qp2/p3b2p/3r1p2/3N4/3Q3P/PPP2PPK/4R3 w - - 0 26,1,0,0,1,0,0,0,0,1,1,c2c3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_10.npy
6k1/1p3ppp/4p1q1/3b4/3N4/1P3P2/rB4rP/2Q3RK b - - 1 29,1,0,0,1,0,0,0,1,1,1,g2g1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_11.npy
r7/1p1k1pp1/1p1p3p/3P4/Pnb5/2N1KP2/6PP/3R3R w - - 0 26,1,0,0,0,0,0,0,1,0,0,d1d2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_12.npy
8/7k/p1p5/Q2p3b/8/1PNPN1b1/1PPK1r2/8 w - - 3 42,1,0,0,0,0,0,0,1,0,0,d2c1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_13.npy
8/7p/p7/P2p1k2/1N2bp2/2P5/5K1P/8 b - - 3 48,1,0,0,0,0,1,0,1,0,0,d5d4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_14.npy
r1b1r1k1/pp6/7p/b2q1pp1/3Bn3/2PB1N2/P1Q2PPP/4RK1R w - - 0 19,1,0,1,1,0,0,0,1,0,0,h2h4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_15.npy
2r1r3/4pk2/1pnp2pp/3N1b2/1B3P2/PP2R3/1KP1R2P/8 b - - 18 37,1,1,0,0,0,0,0,1,1,0,b6b5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_16.npy
5r1k/2R5/p5p1/5b1p/8/2P2N1P/r1P2P2/2K3R1 w - - 1 35,1,0,0,0,0,1,0,1,1,0,c1d2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_17.npy
8/4kB2/5p1p/6pP/3pN1P1/3PbPK1/8/8 b - - 0 60,1,0,0,0,0,0,0,1,0,0,e3f4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_18.npy
2q1r1k1/2p2pb1/p7/2PPPNp1/1r2Np2/6pP/1PQ3K1/4RR2 b - - 0 31,1,0,0,1,0,1,0,0,1,0,g7e5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_19.npy
r4r1k/pp2qppB/1np1p3/8/2PPN3/4PPQ1/PP5P/2R3K1 b - - 2 19,1,0,0,1,0,0,0,0,0,0,g7g6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_20.npy
3r1rk1/npq1bppp/p7/P1NBnb2/8/4BN2/1P3PPP/2RQR1K1 b - - 0 18,1,0,0,1,0,0,0,0,1,1,a7c6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_21.npy
r4rk1/ppp3b1/4R2p/2q3p1/5pn1/1QP1BN2/PP4PP/R5K1 b - - 2 18,1,0,0,1,0,0,0,0,0,0,g4e3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_22.npy
2r2rk1/1bq2p2/p3p1pp/1p1nN3/3P4/2PQ1P2/P1B3PP/2R2RK1 w - - 0 20,1,0,0,1,0,0,0,0,0,0,c2b3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_23.npy
r4rk1/p1q2pp1/b2bp2Q/2p1N3/3B4/2P3R1/PP3PPP/2K4R b - - 0 17,1,0,0,1,0,0,0,0,0,0,f7f6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_24.npy
rn1q2k1/1b1r1pp1/7p/p7/PpQ1nN2/1B1p4/1P1B1PPP/3RR1K1 b - - 1 23,1,0,0,1,0,1,0,0,1,0,b8a6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_25.npy
