FEN,white_knight_reachable_outpost,black_bishop_minor_behind_pawn,white_rook_trapped,black_queen_present,white_king_pawnless_flank,black_passed_pawns,white_knight_outpost,black_bishop_outpost,white_rook_on_file,black_queen_weak,Move,Layer Outputs Index,Layer Outputs File
5r2/p6k/1pb2q2/6p1/7p/4PN2/P4RPP/3Q2K1 b - - 0 29,1,0,0,1,0,0,0,0,1,1,h7h6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_0.npy
1r2k3/pbqpb1p1/4p3/3nnp2/1p2NB1p/1P1P3P/2P1BPP1/R1Q2RK1 w - - 2 22,1,1,0,1,0,0,0,0,0,1,f4h2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_1.npy
4k2r/p1q2pp1/1b2p2p/3pnn2/2rP1N2/1N1Q4/PB3PPP/2R2RK1 w k - 0 22,1,0,0,1,0,0,0,0,0,1,d4e5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_2.npy
2r2rk1/p3ppbp/3pb1p1/qP6/3Bn3/1PN2P2/P2QB1PP/R4RK1 w - - 0 15,1,0,0,1,0,1,0,0,0,1,f3e4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_3.npy
r1bqkb1r/3pnppp/p3p3/1N4B1/2BQP3/8/1PP2PPP/R3K2R b KQkq - 0 11,1,1,1,1,0,0,0,0,0,1,a6b5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_4.npy
2r2nk1/1b2q2p/p5pQ/3p1nN1/1p2B3/4R2P/PP3PP1/3R2K1 b - - 0 30,1,0,0,1,0,1,0,0,1,1,d5e4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_5.npy
2rb2k1/1pq2ppp/p7/2p1nP2/N5n1/1Q3B2/PP4PP/2R2RK1 w - - 0 22,1,0,0,1,0,0,0,0,0,1,f3g4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_6.npy
1k1rr3/ppp3p1/2p4p/8/3q3P/2NR4/PPP1KQP1/3R1B2 w - - 1 19,1,0,0,1,0,0,0,0,1,1,d3e3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_7.npy
4rrk1/pp3ppp/2n5/1Q6/4N2b/P1PpR3/BP3PKP/R1Bq4 w - - 5 20,1,0,0,1,0,1,0,1,0,1,a2b3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_8.npy
1r3rk1/p2bppbp/2pp1npB/q7/2P1P3/1PN5/P2QBPPP/R4RK1 b - - 0 13,1,1,0,1,0,0,0,0,0,1,g7h6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_9.npy
