,Position,Advancement of f/g/h Pawns,Advancement of a/b/c Pawns,Pawn Play in the Center
"""STS(v8.0) AKPC.001""",1qr2k1r/pb3pp1/1b2p2p/3nP3/1p6/3B2QN/PP3PPP/R1BR2K1 b - -,1,0,0
"""STS(v8.0) AKPC.002""",1r1qr1k1/p5b1/2p2ppp/3p4/1Pp5/P1Nn1Q2/3BN1PP/R4RK1 b - -,1,0,0
"""STS(v8.0) AKPC.003""",1r1rq1k1/1p4p1/pNb1pp1p/1pP5/3P4/1PQ5/5PPP/R3R1K1 w - -,1,0,0
"""STS(v8.0) AKPC.004""",1r3r2/1p3q1k/1Q1p4/2pNbpp1/2P5/7P/PP2R1P1/3R3K b - -,1,0,0
"""STS(v8.0) AKPC.005""",1r4k1/2p2p1p/4n1p1/2qpP3/2nN4/1BPQ4/Pr3PPP/3RR1K1 w - -,1,0,0
"""STS(v8.0) AKPC.006""",1r4k1/3q2pp/2np4/2p1pp2/2P1P3/R1BP1Q1P/5PP1/6K1 b - -,1,0,0
"""STS(v8.0) AKPC.007""",1r4k1/ppq2ppp/r4nn1/P2p4/2pP4/B1P1P1PP/1Q1N1PK1/RR6 b - -,1,0,0
"""STS(v8.0) AKPC.008""",1rb1r1k1/4qpb1/p1np1npp/1pp5/2P1PN2/1P3PP1/PB4BP/1QRR1N1K b - -,1,0,0
"""STS(v8.0) AKPC.009""",1rq1n3/2pr3k/2n1bppp/p1PNp3/Pp2P3/1P2Q1PP/3R1PBK/3RN3 w - -,1,0,0
"""STS(v8.0) AKPC.010""",2b2kn1/5ppQ/1r5p/p2pN3/1qpP1PP1/5P2/P6P/1B4RK w - -,1,0,0
"""STS(v8.0) AKPC.011""",2qn4/p5k1/1p1Qbpp1/1B1p3p/3P3P/2P5/P4PP1/4N1K1 w - -,1,0,0
"""STS(v8.0) AKPC.012""",2r1r1k1/p2b2bp/1pn1p1pq/4Pp2/2BP4/P4N2/1P2NQPP/2R2RK1 w - -,1,0,0
"""STS(v8.0) AKPC.013""",2r2bk1/p1q2p2/4p1p1/3nP1B1/1p2Q2P/1P3N2/Pr3PP1/R4RK1 w - -,1,0,0
"""STS(v8.0) AKPC.014""",2r2k1r/1q1nbpp1/p2p4/1p1Pp3/8/P1B2BP1/1PP1QP2/3RR1K1 b - -,1,0,0
"""STS(v8.0) AKPC.015""",2r2rk1/1b1qb1pp/p2p4/1p1PpP2/4Q3/1P2BN1P/P4PP1/R3R1K1 w - -,1,0,0
"""STS(v8.0) AKPC.016""",2r2rk1/2qbnppp/1p2p3/p2pPn2/P5QP/2PB1N2/2PB1PP1/1R2R1K1 w - -,1,0,0
"""STS(v8.0) AKPC.017""",2r2rk1/p3ppbp/1pnp1np1/4q3/2P1P3/PPN1B2P/2Q1BPP1/R2R2K1 w - -,1,0,0
"""STS(v8.0) AKPC.018""",2r2rk1/p4qb1/1p1ppp2/2n1n1pp/2PN4/1PN2PPP/P1QBP1K1/2RR4 w - -,1,0,0
"""STS(v8.0) AKPC.019""",2r2rk1/pq2ppbp/1pnp1np1/8/2P1P3/2N1BP2/PPQ1BPKP/3R1R2 w - -,1,0,0
"""STS(v8.0) AKPC.020""",2r3k1/p3np1p/1p1pp1p1/4b3/1PP5/P3B2P/2R2PP1/3R3K w - -,1,0,0
"""STS(v8.0) AKPC.021""",2r3k1/pp2p1b1/q2pP1p1/3pnrPp/P7/1P5P/2PB1PB1/2RQR1K1 w - -,1,0,0
"""STS(v8.0) AKPC.022""",2r5/1bq3kp/4pNp1/3pP1Q1/2pP4/7P/5PP1/R5K1 w - -,1,0,0
"""STS(v8.0) AKPC.023""",2r5/5k2/p1n3p1/P1Pqpp1p/3n4/4BPQN/6PP/3R3K w - -,1,0,0
"""STS(v8.0) AKPC.024""",2rr1bk1/p4pp1/1p2q2p/1PpN4/2Q1P3/P4PP1/3R3P/3R2K1 w - -,1,0,0
"""STS(v8.0) AKPC.025""",2rr2k1/5ppp/p3p3/1p2P3/1Pn5/2B1PqP1/P1Q2P1P/3RR1K1 b - -,1,0,0
"""STS(v8.0) AKPC.026""",3bn1k1/1bq1npp1/3p3p/1p1Pp3/1Pp1P3/2P1B1NP/2BN1PPK/Q7 b - -,1,0,0
"""STS(v8.0) AKPC.027""",3q1r2/2r2ppk/5b1p/2pBpR2/P3P2P/1P4PK/5Q2/5R2 w - -,1,0,0
"""STS(v8.0) AKPC.028""",3q2k1/rb1r3p/6p1/pQRp1p2/3N3P/1P2PBP1/P4P2/6K1 w - -,1,0,0
"""STS(v8.0) AKPC.029""",3q3k/3r1p1p/4p3/p4p2/PbP2Q1P/1p3N2/1P2KPP1/1R6 b - -,1,0,0
