Unnamed: 0,PuzzleId,FEN,OpeningTags,dutch,english,sicilian,french,benoni,queens_gambit,kings_indian,Move,Layer Outputs Index,Layer Outputs File
1235208,HtR67,rn1q1r2/pp2b1k1/3pb2N/2p4B/2P2p2/3QP3/P1P2PPP/R4RK1 b - -,Dutch_Defense Dutch_Defense_Raphael_Variation,1,0,0,0,0,0,0,f8f6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening_input_tokens/lichess_puzzles_openings_layer_outputs_0.npy
319185,4cXyt,r2q1rk1/pppbb1p1/2n2n1p/3N4/3P4/1N3QP1/PP4BP/R1B1R1K1 b - -,Dutch_Defense Dutch_Defense_Other_variations,1,0,0,0,0,0,0,e7d6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening_input_tokens/lichess_puzzles_openings_layer_outputs_1.npy
2245828,WXXQa,rn1qkb1r/ppp4R/5pp1/3p4/3P2b1/3Q4/PPP1PP2/RN2KBN1 b Qkq -,Dutch_Defense Dutch_Defense_Krejcik_Gambit,1,0,0,0,0,0,0,h8h7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening_input_tokens/lichess_puzzles_openings_layer_outputs_2.npy
655135,9TtiE,5rk1/pr2q1pp/1ppb4/4pp2/2P2P2/1PB1P1P1/PQ5P/2KR3R w - -,Dutch_Defense Dutch_Defense_Queens_Knight_Variation,1,0,0,0,0,0,0,b2g2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening_input_tokens/lichess_puzzles_openings_layer_outputs_3.npy
3346880,mUCi5,r1b3qk/ppp5/4pb2/3p2BQ/3P4/2N5/PPP3PP/6K1 b - -,Dutch_Defense Dutch_Defense_Staunton_Gambit,1,0,0,0,0,0,0,h8g7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening_input_tokens/lichess_puzzles_openings_layer_outputs_4.npy
2564558,b9rdN,rnb2rk1/ppp3pp/4p3/3pNp2/3P1P2/3BKPP1/PPPN2q1/R2Q4 b - -,Dutch_Defense Dutch_Defense_Other_variations,1,0,0,0,0,0,0,b8d7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening_input_tokens/lichess_puzzles_openings_layer_outputs_5.npy
184028,2fO4W,2kr4/p1nqpr1p/1p1p1npB/5p2/2P5/2N3P1/PPQ1PPKP/R4R2 w - -,Dutch_Defense Dutch_Defense_Other_variations,1,0,0,0,0,0,0,f2f3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening_input_tokens/lichess_puzzles_openings_layer_outputs_6.npy
2468611,Zlla3,r2qk1nB/pbpp3p/1pn1p3/8/3PPp1b/2N2P2/PPPQ2P1/2KR1BN1 w q -,Dutch_Defense Dutch_Defense_Other_variations,1,0,0,0,0,0,0,d4d5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening_input_tokens/lichess_puzzles_openings_layer_outputs_7.npy
1683963,OOv3i,r2qk2r/pbppb1pp/1pn1pn2/1B2Np2/3P1B2/1QP1P3/PP1N1PPP/R3K2R b KQkq -,Dutch_Defense Dutch_Defense_Other_variations,1,0,0,0,0,0,0,c6e5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening_input_tokens/lichess_puzzles_openings_layer_outputs_8.npy
1492992,LdW7Y,r1bq1r1k/1p4pp/3bpn2/n1p2p2/3P4/P2QPN1P/B4PP1/RNB2RK1 w - -,Dutch_Defense Dutch_Defense_Other_variations,1,0,0,0,0,0,0,b1c3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening_input_tokens/lichess_puzzles_openings_layer_outputs_9.npy
34837,0VTdp,r7/ppp2kpQ/2n2r1p/3p3B/1b1Pq3/4B1PP/PP3P2/R2K3R b - -,Dutch_Defense Dutch_Defense_Classical_Variation,1,0,0,0,0,0,0,f7e6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening_input_tokens/lichess_puzzles_openings_layer_outputs_10.npy
2745553,dmB6i,r3r1k1/pp3qbp/n1p5/2P1pb2/1P3n2/P1N2N2/1B3P1P/R2QRBK1 w - -,Dutch_Defense Dutch_Defense_Leningrad_Variation,1,0,0,0,0,0,0,f3h4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening_input_tokens/lichess_puzzles_openings_layer_outputs_11.npy
2700809,d83WF,r4rk1/1ppq2pB/2np4/p7/2P2Nb1/1P1Q2P1/P4P1P/b1B2RK1 b - -,Dutch_Defense Dutch_Defense_Rubinstein_Variation,1,0,0,0,0,0,0,g8f7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening_input_tokens/lichess_puzzles_openings_layer_outputs_12.npy
3806446,t8cSx,rnbqk2r/pppp2pp/4pb2/4N2Q/3Pp3/8/PPP2PPP/RN2KB1R b KQkq -,Dutch_Defense Dutch_Defense_Other_variations,1,0,0,0,0,0,0,g7g6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/opening_input_tokens/lichess_puzzles_openings_layer_outputs_13.npy
